Category	Description
Lifetime Total Likes	Lifetime: Total number of people who have liked your Page (unique users)
Daily New Likes	Daily: Number of new people who have liked your Page (unique users)
Daily Unlikes	Daily: Number of Unlikes of your Page (unique users)
Daily Page Engaged Users	Daily: Number of people who engaged with your Page. Engagement includes any click or story created. (unique users)
Weekly Page Engaged Users	Weekly: Number of people who engaged with your Page. Engagement includes any click or story created. (unique users)
28 Days Page Engaged Users	28 Days: Number of people who engaged with your Page. Engagement includes any click or story created. (unique users)
Daily Total Reach	Daily: The number of people for whom any content from your Page or about your Page entered their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (unique users).
Weekly Total Reach	Weekly: The number of people for whom any content from your Page or about your Page entered their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (unique users).
28 Days Total Reach	28 days: The number of people for whom any content from your Page or about your Page entered their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (unique users).
Daily Organic Reach	Daily: The number of people for whom any content from your Page or about your Page entered their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (unique users).
Weekly Organic Reach	Weekly: The number of people for whom any content from your Page or about your Page entered their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (unique users).
28 Days Organic Reach	28 days: The number of people for whom any content from your Page or about your Page entered their screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (unique users).
Daily Paid Reach	Daily: The number of people for whom any content from your Page or about your Page entered their screen through paid distribution such as an ad (unique users).
Weekly Paid Reach	Weekly: The number of people for whom any content from your Page or about your Page entered their screen through paid distribution such as an ad (unique users).
28 Days Paid Reach	28 days: The number of people for whom any content from your Page or about your Page entered their screen through paid distribution such as an ad (unique users).
Daily Viral Reach	Daily: The number of people for whom any content from your Page or about your Page entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
Weekly Viral Reach	Weekly: The number of people for whom any content from your Page or about your Page entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
28 Days Viral Reach	28 days: The number of people for whom any content from your Page or about your Page entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
Daily Total Impressions	Daily: The number of times that any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (total count).
Weekly Total Impressions	Weekly: The number of times that any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (total count).
28 Days Total Impressions	28 days: The number of times that any content from your Page or about your Page entered a person's screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more (total count).
Daily Organic Impressions	Daily: The number of times that any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (total count).
Weekly Organic Impressions	Weekly: The number of times that any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (total count).
28 Days Organic Impressions	28 days: The number of times that any content from your Page or about your Page entered a person's screen through unpaid distribution. This includes posts, check-ins, social information from people who interact with your Page and more (total count).
Daily Paid Impressions	Daily: The number of times that any content from your Page or about your Page entered a person's screen through paid distribution such as an ad (total count).
Weekly Paid Impressions	Weekly: The number of times that any content from your Page or about your Page entered a person's screen through paid distribution such as an ad (total count).
28 Days Paid Impressions	28 days: The number of times that any content from your Page or about your Page entered a person's screen through paid distribution such as an ad (total count).
Daily Viral Impressions	Daily: The number of times that any content from your Page or about your Page entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
Weekly Viral Impressions	Weekly: The number of times that any content from your Page or about your Page entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
28 Days Viral Impressions	28 days: The number of times that any content from your Page or about your Page entered a person's screen with social information attached. Social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (total count).
Daily Logged-in Page Views	Daily: Page Views from users logged in to Facebook (total count)
Weekly Logged-in Page Views	Weekly: Page Views from users logged in to Facebook (total count)
Daily Logged-in Page Views.1	Daily: Page Views from users logged in to Facebook (unique users)
Weekly Logged-in Page Views.1	Weekly: Page Views from users logged in to Facebook (unique users)
Daily Reach of Page posts	Daily: The number of people for whom any of your Page's posts entered their screen. Posts include statuses, photos, links, videos and more (unique users).
Weekly Reach of Page posts	Weekly: The number of people for whom any of your Page's posts entered their screen. Posts include statuses, photos, links, videos and more (unique users).
28 Days Reach of Page posts	28 days: The number of people for whom any of your Page's posts entered their screen. Posts include statuses, photos, links, videos and more (unique users).
Daily Organic reach of Page posts	Daily: The number of people for whom any of your Page's posts entered their screen through unpaid distribution (unique users).
Weekly Organic reach of Page posts	Weekly: The number of people for whom any of your Page's posts entered their screen through unpaid distribution (unique users).
28 Days Organic reach of Page posts	28 days: The number of people for whom any of your Page's posts entered their screen through unpaid distribution (unique users).
Daily Paid reach of Page posts	Daily: The number of people for whom any of your Page's posts entered their screen through paid distribution such as an ad (unique users).
Weekly Paid reach of Page posts	Weekly: The number of people for whom any of your Page's posts entered their screen through paid distribution such as an ad (unique users).
28 Days Paid reach of Page posts	28 days: The number of people for whom any of your Page's posts entered their screen through paid distribution such as an ad (unique users).
Daily Viral reach of Page posts	Daily: The number of people for whom any of your Page's posts entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
Weekly Viral reach of Page posts	Weekly: The number of people for whom any of your Page's posts entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
28 Days Viral reach of Page posts	28 days: The number of people for whom any of your Page's posts entered their screen with social information attached. As a form of organic distribution, social information is shown when a person's friend interacts with your Page or post. This includes when someone's friend likes or follows your Page, engages with a post, shares a photo of your Page and checks in to your Page (unique users).
